sex,dataset,modality,organ,side,organ_id,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
unknown,https://api.cellxgene.cziscience.com/dp/v1/collections/32f2fd23-ec74-486f-9544-e5b2f41725f5#U2$endometrium,sc_bulk,uterus,,http://purl.obolibrary.org/obo/UBERON_0000995,4,false,true,false,true,false,CxG,Mapping the temporal and spatial dynamics of the human endometrium in vivo and in vitro,https://doi.org/10.1038/s41588-021-00972-2,Luz Garcia-Alonso
male,https://api.cellxgene.cziscience.com/dp/v1/collections/3472f32d-4a33-48e2-aad5-666d4631bf4c#Donor2$retina,sc_bulk,eye,,http://purl.obolibrary.org/obo/UBERON_0000970,9,false,true,false,true,false,CxG,A single-cell transcriptome atlas of the adult human retina,https://doi.org/10.15252/embj.2018100811,Samuel W Lukowski
female,https://api.cellxgene.cziscience.com/dp/v1/collections/3472f32d-4a33-48e2-aad5-666d4631bf4c#Donor3$retina,sc_bulk,eye,,http://purl.obolibrary.org/obo/UBERON_0000970,9,false,true,false,true,false,CxG,A single-cell transcriptome atlas of the adult human retina,https://doi.org/10.15252/embj.2018100811,Samuel W Lukowski
female,https://api.cellxgene.cziscience.com/dp/v1/collections/348da6dc-5bf6-435d-adc5-37747b9ae38a#LGS1$retina,sc_bulk,eye,,http://purl.obolibrary.org/obo/UBERON_0000970,10,false,true,false,true,false,CxG,Single-cell multiome of the human retina and deep learning nominate causal variants in complex eye diseases,https://doi.org/10.1016/j.xgen.2022.100164,Sean K. Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/348da6dc-5bf6-435d-adc5-37747b9ae38a#LVG1$retina,sc_bulk,eye,,http://purl.obolibrary.org/obo/UBERON_0000970,8,false,true,false,true,false,CxG,Single-cell multiome of the human retina and deep learning nominate causal variants in complex eye diseases,https://doi.org/10.1016/j.xgen.2022.100164,Sean K. Wang
female,https://api.cellxgene.cziscience.com/dp/v1/collections/436154da-bcf1-4130-9c8b-120ff9a888f2#1132$blood,sc_bulk,blood,,http://purl.obolibrary.org/obo/UBERON_0000178,24,false,true,false,true,false,CxG,Single-cell RNA-seq reveals the cell-type-specific molecular and genetic associations to lupus,https://doi.org/10.1126/science.abf1970,Richard K. Perez
female,https://api.cellxgene.cziscience.com/dp/v1/collections/436154da-bcf1-4130-9c8b-120ff9a888f2#HC-546$blood,sc_bulk,blood,,http://purl.obolibrary.org/obo/UBERON_0000178,25,false,true,false,true,false,CxG,Single-cell RNA-seq reveals the cell-type-specific molecular and genetic associations to lupus,https://doi.org/10.1126/science.abf1970,Richard K. Perez
male,https://api.cellxgene.cziscience.com/dp/v1/collections/43d4bb39-21af-4d05-b973-4c1fed7b916c#fore8$skin%20of%20prepuce%20of%20penis,sc_bulk,skin,,http://purl.obolibrary.org/obo/UBERON_0002097,17,false,true,false,true,false,CxG,Transcriptional Programming of Normal and Inflamed Human Epidermis at Single-Cell Resolution,https://doi.org/10.1016/j.celrep.2018.09.006,Jeffrey B. Cheng
female,https://api.cellxgene.cziscience.com/dp/v1/collections/44531dd9-1388-4416-a117-af0a99de2294#C41$caudate%20lobe%20of%20liver,sc_bulk,liver,,http://purl.obolibrary.org/obo/UBERON_0002107,11,false,true,false,true,false,CxG,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",https://doi.org/10.1002/hep4.1854,Tallulah S. Andrews
male,https://api.cellxgene.cziscience.com/dp/v1/collections/44531dd9-1388-4416-a117-af0a99de2294#C58$caudate%20lobe%20of%20liver,sc_bulk,liver,,http://purl.obolibrary.org/obo/UBERON_0002107,11,false,true,false,true,false,CxG,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",https://doi.org/10.1002/hep4.1854,Tallulah S. Andrews
male,https://api.cellxgene.cziscience.com/dp/v1/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e#19-D003$macula%20lutea,sc_bulk,eye,,http://purl.obolibrary.org/obo/UBERON_0000970,4,false,true,false,true,false,CxG,Single cell atlas of the human retina,https://doi.org/10.1101/2023.11.07.566105,Jin Li
female,https://api.cellxgene.cziscience.com/dp/v1/collections/4d74781b-8186-4c9a-b659-ff4dc4601d91#337C$spleen,sc_bulk,spleen,,http://purl.obolibrary.org/obo/UBERON_0002106,19,false,true,false,true,false,CxG,"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",https://doi.org/10.1186/s13059-019-1906-x,E. Madissoon
female,https://api.cellxgene.cziscience.com/dp/v1/collections/4d74781b-8186-4c9a-b659-ff4dc4601d91#356C$spleen,sc_bulk,spleen,,http://purl.obolibrary.org/obo/UBERON_0002106,21,false,true,false,true,false,CxG,"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",https://doi.org/10.1186/s13059-019-1906-x,E. Madissoon
male,https://api.cellxgene.cziscience.com/dp/v1/collections/4f889ffc-d4bc-4748-905b-8eb9db47a2ed#Normal%204$blood,sc_bulk,blood,,http://purl.obolibrary.org/obo/UBERON_0000178,27,false,true,false,true,false,CxG,Immunophenotyping of COVID-19 and influenza highlights the role of type I interferons in development of severe COVID-19,https://doi.org/10.1126/sciimmunol.abd1554,Jeong Seok Lee
female,https://api.cellxgene.cziscience.com/dp/v1/collections/4f889ffc-d4bc-4748-905b-8eb9db47a2ed#nCoV%206$blood,sc_bulk,blood,,http://purl.obolibrary.org/obo/UBERON_0000178,27,false,true,false,true,false,CxG,Immunophenotyping of COVID-19 and influenza highlights the role of type I interferons in development of severe COVID-19,https://doi.org/10.1126/sciimmunol.abd1554,Jeong Seok Lee
unknown,https://api.cellxgene.cziscience.com/dp/v1/collections/5900dda8-2dc3-4770-b604-084eac1c2c82#Donor_10$macula%20lutea,sc_bulk,eye,,http://purl.obolibrary.org/obo/UBERON_0000970,8,false,true,false,false,false,CxG,Single Cell Multiome Atlas of the Human Fetal Retina,,
unknown,https://api.cellxgene.cziscience.com/dp/v1/collections/5900dda8-2dc3-4770-b604-084eac1c2c82#Donor_10$peripheral%20region%20of%20retina,sc_bulk,eye,,http://purl.obolibrary.org/obo/UBERON_0000970,9,false,true,false,false,false,CxG,Single Cell Multiome Atlas of the Human Fetal Retina,,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/59cd85c5-3b22-4035-b628-2a20810ad54b#unknown$bone%20marrow,sc_bulk,bone marrow,,http://purl.obolibrary.org/obo/UBERON_0002371,30,false,true,false,true,false,CxG,Generation of complex human induced pluripotent stem cell-derived bone marrow organoids,https://doi.org/10.1038/s41592-024-02172-2,Stephanie Frenz-Wiessner
female,https://api.cellxgene.cziscience.com/dp/v1/collections/60358420-6055-411d-ba4f-e8ac80682a2e#ABN$colon,sc_bulk,large intestine,,http://purl.obolibrary.org/obo/UBERON_0000059,68,false,true,false,true,false,CxG,Spatiotemporal analysis of human intestinal development at single-cell resolution,https://doi.org/10.1016/j.cell.2020.12.016,David Fawkner-Corbett
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,45,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0013702,45,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001558,45,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000467,45,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,45,true,true,false,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,45,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000065,45,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000170,45,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,47,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,47,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0013702,47,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001558,47,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000467,47,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000065,47,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000170,47,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,47,true,true,false,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0013702,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001558,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000467,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000065,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000170,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001558,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000065,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0013702,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000467,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000170,48,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D122$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,39,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D122$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,39,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D122$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0013702,39,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D122$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001558,39,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D122$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000467,39,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D122$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000065,39,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D122$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000170,39,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000170,43,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001558,43,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0000065,43,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,43,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,sc_bulk,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,43,true,true,true,true,false,NHLBI/LungMap,,https://doi.org/10.7554/eLife.62522,
