sex,dataset,technology,description,annotation_method,unique_cell_type_count
Male,https://entity.api.hubmapconsortium.org/entities/9bc5d8fc743fd4dd610586ca720976f1,,,azimuth,42
Male,https://entity.api.hubmapconsortium.org/entities/a39f501df340b605a58dc492f51c05db,,,azimuth,40
Male,https://entity.api.hubmapconsortium.org/entities/b3d66a3ef05dcca3984087b155c6e915,,,azimuth,44
Male,https://entity.api.hubmapconsortium.org/entities/ae69348842e9e11be18cb3af99db834e,,,azimuth,41
Male,https://doi.org/10.1126/science.abl4290#GTEX-15CHR-5005-SM-H5JDT,,,azimuth,28
Male,https://doi.org/10.1126/science.abl4290#GTEX-15CHR-5005-SM-H5JDT,,,celltypist,40
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,47
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,OTHER,"Data/Assay Types: OTHER, ",popv,30
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,29
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,49
Female,https://entity.api.hubmapconsortium.org/entities/22684b9011fc5aea5cb3f89670a461e8,,,celltypist,28
Female,https://entity.api.hubmapconsortium.org/entities/22684b9011fc5aea5cb3f89670a461e8,,,popv,6
Male,https://entity.api.hubmapconsortium.org/entities/2d3dbd5e5a3d9d5cfc7a46f06815a4eb,,,azimuth,20
Male,https://entity.api.hubmapconsortium.org/entities/2d3dbd5e5a3d9d5cfc7a46f06815a4eb,,,celltypist,31
Male,https://entity.api.hubmapconsortium.org/entities/2d3dbd5e5a3d9d5cfc7a46f06815a4eb,,,popv,6
Female,https://entity.api.hubmapconsortium.org/entities/2d0deacd8be70eefbdc33ac107d97e58,,,azimuth,21
Female,https://entity.api.hubmapconsortium.org/entities/2d0deacd8be70eefbdc33ac107d97e58,,,celltypist,32
Male,https://entity.api.hubmapconsortium.org/entities/892b7cae1138be0b8181cca95b901628,,,azimuth,44
Male,https://entity.api.hubmapconsortium.org/entities/af5741dad7aecf7960a129c3d2ae642a,,,azimuth,35
Female,https://entity.api.hubmapconsortium.org/entities/b2ab05f290c0740c3198f020cd70e78d,,,azimuth,26
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D231$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,28
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,16
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D231$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,40
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D231$lung,OTHER,"Data/Assay Types: OTHER, ",popv,29
Male,https://entity.api.hubmapconsortium.org/entities/b1a0bb5adb99161eb40f977358187c6d,,,celltypist,110
Male,https://entity.api.hubmapconsortium.org/entities/b1a0bb5adb99161eb40f977358187c6d,,,popv,14
Male,https://entity.api.hubmapconsortium.org/entities/9308dab31ff0b18325f79a671cd6d833,,,celltypist,127
Male,https://entity.api.hubmapconsortium.org/entities/9457860c1b69f7ec3e51a6b648eabf13,,,azimuth,44
Male,https://entity.api.hubmapconsortium.org/entities/949827f25f423d54663f09596351795d,,,azimuth,44
Female,https://entity.api.hubmapconsortium.org/entities/2d0deacd8be70eefbdc33ac107d97e58,,,popv,6
Male,https://entity.api.hubmapconsortium.org/entities/224e01ccfc20977ee5a6a6a5b96aa7d7,,,celltypist,24
Male,https://entity.api.hubmapconsortium.org/entities/224e01ccfc20977ee5a6a6a5b96aa7d7,,,popv,6
Male,https://entity.api.hubmapconsortium.org/entities/4c435d2297941eafda7fe30f327f88ec,,,azimuth,19
Female,https://entity.api.hubmapconsortium.org/entities/2eca1430db3b9a4129bff717925fe932,,,celltypist,119
Male,https://entity.api.hubmapconsortium.org/entities/a39fed027b51d97f83cec90c63c44744,,,popv,29
Male,https://entity.api.hubmapconsortium.org/entities/84db9a72aba9ae0ef740192ad8747ee3,,,popv,29
Male,https://entity.api.hubmapconsortium.org/entities/8df15cb20f5e127d102a73d0ec5682a0,,,azimuth,32
Male,https://entity.api.hubmapconsortium.org/entities/a44f5dbe2472dac447b0f91a24da8b30,,,popv,9
Male,https://entity.api.hubmapconsortium.org/entities/b1ac71625c1aba9d819fae1725c27a42,,,azimuth,21
Male,https://entity.api.hubmapconsortium.org/entities/b1ac71625c1aba9d819fae1725c27a42,,,celltypist,29
Male,https://entity.api.hubmapconsortium.org/entities/b1ac71625c1aba9d819fae1725c27a42,,,popv,6
Male,https://entity.api.hubmapconsortium.org/entities/9e91d1be412466551533cce5594450cb,,,azimuth,20
Male,https://entity.api.hubmapconsortium.org/entities/9e91d1be412466551533cce5594450cb,,,celltypist,30
Male,https://entity.api.hubmapconsortium.org/entities/0b528e5d674fadada32215c364f6fcaa,,,popv,5
Male,https://entity.api.hubmapconsortium.org/entities/174c43df28ab2ab737471d00a65d7730,,,celltypist,93
Male,https://entity.api.hubmapconsortium.org/entities/f9848244883f6c70972acef16680431a,,,celltypist,47
Male,https://entity.api.hubmapconsortium.org/entities/f9848244883f6c70972acef16680431a,,,popv,29
Male,https://entity.api.hubmapconsortium.org/entities/9e91d1be412466551533cce5594450cb,,,popv,6
Female,https://entity.api.hubmapconsortium.org/entities/8b65acdfecc504e9a96c84643c3ab02c,,,azimuth,21
Female,https://entity.api.hubmapconsortium.org/entities/8b65acdfecc504e9a96c84643c3ab02c,,,celltypist,28
Female,https://entity.api.hubmapconsortium.org/entities/8b65acdfecc504e9a96c84643c3ab02c,,,popv,6
Female,https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe,,,celltypist,111
Male,https://entity.api.hubmapconsortium.org/entities/174c43df28ab2ab737471d00a65d7730,,,popv,10
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,18
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D062$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,30
Male,https://entity.api.hubmapconsortium.org/entities/453b06e1f62ec3e54d8380e4e974a5a5,,,celltypist,113
Male,https://entity.api.hubmapconsortium.org/entities/24f6fc63d7f0444d459de7f419701e86,,,popv,12
Female,https://entity.api.hubmapconsortium.org/entities/8a5592389339a77ce7697f516aa721fe,,,popv,14
Male,https://entity.api.sennetconsortium.org/entities/ae5d324e38aedcda9ab2aba5f1267e6f,,,celltypist,35
Male,https://entity.api.sennetconsortium.org/entities/ae5d324e38aedcda9ab2aba5f1267e6f,,,popv,24
Male,https://entity.api.sennetconsortium.org/entities/2cfb87471c9e827ee741dd5bbaa4f5d8,,,azimuth,31
Female,https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e,,,celltypist,121
Male,https://entity.api.hubmapconsortium.org/entities/9308dab31ff0b18325f79a671cd6d833,,,popv,12
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,30
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D088$lung,OTHER,"Data/Assay Types: OTHER, ",popv,32
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D150$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,33
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D150$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,50
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,18
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,31
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,20
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,33
Female,https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e,,,popv,14
Male,https://entity.api.sennetconsortium.org/entities/2cfb87471c9e827ee741dd5bbaa4f5d8,,,celltypist,35
Male,https://entity.api.sennetconsortium.org/entities/2cfb87471c9e827ee741dd5bbaa4f5d8,,,popv,28
Female,https://entity.api.sennetconsortium.org/entities/55b89760a86cf5097aeac1d22e72c406,,,celltypist,16
Female,https://entity.api.sennetconsortium.org/entities/55b89760a86cf5097aeac1d22e72c406,,,popv,11
Male,https://entity.api.sennetconsortium.org/entities/1ffd4842e6a1643f538f42eb7fff5bbc,,,azimuth,29
Male,https://entity.api.sennetconsortium.org/entities/1ffd4842e6a1643f538f42eb7fff5bbc,,,celltypist,38
Male,https://entity.api.sennetconsortium.org/entities/1ffd4842e6a1643f538f42eb7fff5bbc,,,popv,28
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,21
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$interventricular%20septum,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,16
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,28
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,18
Male,https://entity.api.hubmapconsortium.org/entities/ff5d0d740fea8963e91f2e35c0a85596,,,popv,15
Male,https://entity.api.hubmapconsortium.org/entities/fb94e862fe33f171de6e07d2d207d0de,,,azimuth,21
Male,https://entity.api.hubmapconsortium.org/entities/faa1acc13943ee9d365b6cc6a3ea889f,,,azimuth,27
Male,https://entity.api.hubmapconsortium.org/entities/37ccf28cb5c06e8ba076f587ee4e50be,,,popv,28
Male,https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,,,azimuth,27
Male,https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,,,celltypist,47
Male,https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,,,popv,29
Female,https://entity.api.hubmapconsortium.org/entities/2cd4eabca0b653af7f3b79534b2d641f,,,azimuth,41
Female,https://entity.api.hubmapconsortium.org/entities/2639e9e8488edddde275491cdbaae662,,,azimuth,44
Female,https://entity.api.hubmapconsortium.org/entities/33c0ce043ae331ea23fc80023428e534,,,azimuth,43
Male,https://entity.api.hubmapconsortium.org/entities/a39fed027b51d97f83cec90c63c44744,,,azimuth,34
Male,https://entity.api.hubmapconsortium.org/entities/a39fed027b51d97f83cec90c63c44744,,,celltypist,50
Male,https://entity.api.hubmapconsortium.org/entities/faa1acc13943ee9d365b6cc6a3ea889f,,,celltypist,47
Male,https://entity.api.hubmapconsortium.org/entities/faa1acc13943ee9d365b6cc6a3ea889f,,,popv,28
Male,https://entity.api.hubmapconsortium.org/entities/f9848244883f6c70972acef16680431a,,,azimuth,30
Male,https://entity.api.hubmapconsortium.org/entities/b340bb5715f967aa74d1b8eaeec0d475,,,azimuth,28
Male,https://entity.api.hubmapconsortium.org/entities/b340bb5715f967aa74d1b8eaeec0d475,,,celltypist,49
Male,https://entity.api.hubmapconsortium.org/entities/b340bb5715f967aa74d1b8eaeec0d475,,,popv,29
Female,https://entity.api.hubmapconsortium.org/entities/898138b7f45a67c574e9955fb400e9be,,,azimuth,37
Male,https://entity.api.hubmapconsortium.org/entities/f7a8e78dea9cf70735059e8b4a179701,,,popv,29
Female,https://entity.api.hubmapconsortium.org/entities/fbfdd102ecd60d7cf9d3da8c3d83a5c4,,,azimuth,37
Female,https://entity.api.hubmapconsortium.org/entities/fd0b0c1d050010de3520492147aacef4,,,azimuth,41
Female,https://entity.api.hubmapconsortium.org/entities/fee4cf0e7da557d3ef5c535b5417ed7a,,,azimuth,39
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,26
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,12
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,17
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,18
Male,https://entity.api.hubmapconsortium.org/entities/237b8f24c23821690519af862cf25a9f,,,azimuth,30
Male,https://entity.api.hubmapconsortium.org/entities/237b8f24c23821690519af862cf25a9f,,,celltypist,47
Male,https://entity.api.hubmapconsortium.org/entities/237b8f24c23821690519af862cf25a9f,,,popv,29
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,32
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$interventricular%20septum,10x,"Data/Assay Types: 10x, ",azimuth,18
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$interventricular%20septum,10x,"Data/Assay Types: 10x, ",celltypist,38
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$interventricular%20septum,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,31
Male,https://entity.api.hubmapconsortium.org/entities/37988db44acc8d0780e4e31cd057e789,,,azimuth,34
Female,https://entity.api.hubmapconsortium.org/entities/367fee3b40cba682063289505b922be1,,,azimuth,46
Female,https://entity.api.hubmapconsortium.org/entities/29596bee3f70b2bfc89d184fe38a3daa,,,azimuth,42
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,28
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,18
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,40
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",popv,6
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,17
Male,https://entity.api.hubmapconsortium.org/entities/37ccf28cb5c06e8ba076f587ee4e50be,,,azimuth,28
Male,https://entity.api.hubmapconsortium.org/entities/37ccf28cb5c06e8ba076f587ee4e50be,,,celltypist,47
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,35
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,6
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,15
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,28
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
Female,https://entity.api.hubmapconsortium.org/entities/4b62d9d2c248323ce029859f953fdc57,,,azimuth,36
Male,https://entity.api.hubmapconsortium.org/entities/42ab155ddff1d33fe1c505c067828614,,,azimuth,28
Male,https://entity.api.hubmapconsortium.org/entities/39e55aa4b6953651230feff506c00fec,,,azimuth,40
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,28
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,16
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,26
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,20
Male,https://entity.api.sennetconsortium.org/entities/7c0457b5cbb0c6b068dcd1b013a33716,,,azimuth,32
Male,https://entity.api.sennetconsortium.org/entities/7c0457b5cbb0c6b068dcd1b013a33716,,,celltypist,38
Male,https://entity.api.sennetconsortium.org/entities/7c0457b5cbb0c6b068dcd1b013a33716,,,popv,30
Male,https://entity.api.sennetconsortium.org/entities/939b748d576fe45f5b236f86a068d2e8,,,azimuth,34
Female,https://entity.api.hubmapconsortium.org/entities/aa93e53df10842c13348a334c8fe423f,,,azimuth,44
Female,https://entity.api.hubmapconsortium.org/entities/ac1d4544ab4886b851f74b2c21952378,,,azimuth,41
Male,https://entity.api.hubmapconsortium.org/entities/91cfb45f5d398e950ed65786c87f4372,,,azimuth,26
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$interventricular%20septum,10x,"Data/Assay Types: 10x, ",azimuth,16
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,33
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,46
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,OTHER,"Data/Assay Types: OTHER, ",popv,30
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,27
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,29
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,16
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,25
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H4$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,41
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,OTHER,"Data/Assay Types: OTHER, ",popv,28
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$interventricular%20septum,10x,"Data/Assay Types: 10x, ",celltypist,23
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,18
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,27
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,18
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,28
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$right%20cardiac%20atrium,,,celltypist,31
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$right%20cardiac%20atrium,,,popv,6
Male,https://entity.api.hubmapconsortium.org/entities/19304b10d9e1f17af19cccb2feb014a5,,,azimuth,21
Male,https://entity.api.hubmapconsortium.org/entities/19304b10d9e1f17af19cccb2feb014a5,,,celltypist,31
