#####Coverage percentage#####
80.63%
#####Number of terms covered by each term in the slim#####
adipocyte,12
http://purl.obolibrary.org/obo/CL_0000501,granulosa cell
http://purl.obolibrary.org/obo/CL_2000078,placental pericyte
http://purl.obolibrary.org/obo/CL_0010005,atrioventricular bundle cell
http://purl.obolibrary.org/obo/CL_0001063,neoplastic cell
http://purl.obolibrary.org/obo/CL_1000550,kidney papillary duct principal epithelial cell
http://purl.obolibrary.org/obo/CL_0000340,glioblast (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0017001,splanchnic mesodermal cell
http://purl.obolibrary.org/obo/CL_2000058,calvarial osteoblast
http://purl.obolibrary.org/obo/CL_0001068,ILC1
http://purl.obolibrary.org/obo/CL_0002018,"CD71-negative, GlyA-positive orthochromatic erythroblast"
http://purl.obolibrary.org/obo/CL_0001029,common dendritic progenitor
http://purl.obolibrary.org/obo/CL_0000469,ganglion mother cell
http://purl.obolibrary.org/obo/CL_0000342,pigment cell (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0005001,iridoblast
http://purl.obolibrary.org/obo/CL_0000556,megakaryocyte
http://purl.obolibrary.org/obo/CL_0000367,sheath cell (sensu Nematoda)
http://purl.obolibrary.org/obo/CL_0002467,Gr1-high myeloid suppressor cell
http://purl.obolibrary.org/obo/CL_0002174,follicular cell of ovary
http://purl.obolibrary.org/obo/CL_0002004,"CD34-negative, GlyA-negative proerythroblast"
http://purl.obolibrary.org/obo/CL_0000832,eosinophilic myeloblast
http://purl.obolibrary.org/obo/CL_0000176,ecdysteroid secreting cell
http://purl.obolibrary.org/obo/CL_0005003,leucoblast
http://purl.obolibrary.org/obo/CL_0000478,oxytocin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000380,thecogen cell
http://purl.obolibrary.org/obo/CL_0000571,leucophore
http://purl.obolibrary.org/obo/CL_0002356,primitive reticulocyte
http://purl.obolibrary.org/obo/CL_0000416,polytene cell
http://purl.obolibrary.org/obo/CL_1000272,lung secretory cell
http://purl.obolibrary.org/obo/CL_0000726,chlamydospore
http://purl.obolibrary.org/obo/CL_1000854,kidney blood vessel cell
http://purl.obolibrary.org/obo/CL_1000617,kidney inner medulla cell
http://purl.obolibrary.org/obo/CL_1001142,arcuate vein cell
http://purl.obolibrary.org/obo/CL_4052047,late luteal cell
http://purl.obolibrary.org/obo/CL_0002679,natural helper lymphocyte
http://purl.obolibrary.org/obo/CL_0002016,"CD71-low, GlyA-positive polychromatic erythroblast"
http://purl.obolibrary.org/obo/CL_1000803,kidney inner medulla interstitial cell
http://purl.obolibrary.org/obo/CL_0002381,uninucleate conidium
http://purl.obolibrary.org/obo/CL_0001059,"common myeloid progenitor, CD34-positive"
http://purl.obolibrary.org/obo/CL_0009116,progenitor cell of mammary luminal epithelium
http://purl.obolibrary.org/obo/CL_0000222,mesodermal cell
http://purl.obolibrary.org/obo/CL_0000157,surfactant secreting cell
http://purl.obolibrary.org/obo/CL_0001079,"NKp44-positive group 3 innate lymphoid cell, human"
http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell
http://purl.obolibrary.org/obo/CL_0002045,fraction A pre-pro B cell
http://purl.obolibrary.org/obo/CL_0000553,megakaryocyte progenitor cell
http://purl.obolibrary.org/obo/CL_0000175,luteal cell
http://purl.obolibrary.org/obo/CL_0008006,muscle founder cell
http://purl.obolibrary.org/obo/CL_0000179,progesterone secreting cell
http://purl.obolibrary.org/obo/CL_0009059,plasma cell of medullary sinus of lymph node
http://purl.obolibrary.org/obo/CL_0000480,secretin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0002524,disseminated nephrocyte
http://purl.obolibrary.org/obo/CL_0000611,eosinophil progenitor cell
http://purl.obolibrary.org/obo/CL_0008017,adult skeletal muscle myoblast
http://purl.obolibrary.org/obo/CL_0008019,mesenchymal cell
http://purl.obolibrary.org/obo/CL_0019001,tracheobronchial serous cell
http://purl.obolibrary.org/obo/CL_0000438,luteinizing hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000353,blastoderm cell
http://purl.obolibrary.org/obo/CL_0000783,multinucleated phagocyte
http://purl.obolibrary.org/obo/CL_0000257,Eumycetozoan cell
http://purl.obolibrary.org/obo/CL_0008018,somatic muscle myoblast
http://purl.obolibrary.org/obo/CL_0000986,IgM plasma cell
http://purl.obolibrary.org/obo/CL_0002036,Slamf1-positive multipotent progenitor cell
http://purl.obolibrary.org/obo/CL_0017006,B-lymphoblast
http://purl.obolibrary.org/obo/CL_4023129,retinoblast
http://purl.obolibrary.org/obo/CL_0000140,odontocyte
http://purl.obolibrary.org/obo/CL_1001052,kidney cortex vein cell
http://purl.obolibrary.org/obo/CL_0007005,notochordal cell
http://purl.obolibrary.org/obo/CL_1000147,cardiac valve cell
http://purl.obolibrary.org/obo/CL_0000256,uric acid accumulating cell
http://purl.obolibrary.org/obo/CL_0000834,neutrophil progenitor cell
http://purl.obolibrary.org/obo/CL_0007000,preameloblast
http://purl.obolibrary.org/obo/CL_0000524,spheroplast
http://purl.obolibrary.org/obo/CL_0000995,"CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor"
http://purl.obolibrary.org/obo/CL_1001135,arcuate artery cell
http://purl.obolibrary.org/obo/CL_0000837,hematopoietic multipotent progenitor cell
http://purl.obolibrary.org/obo/CL_0000227,binucleate cell
http://purl.obolibrary.org/obo/CL_0000513,cardiac muscle myoblast
http://purl.obolibrary.org/obo/CL_4033081,cycling myeloid cell
http://purl.obolibrary.org/obo/CL_4052027,atretic theca cell
http://purl.obolibrary.org/obo/CL_0002362,cerebellar granule cell precursor
http://purl.obolibrary.org/obo/CL_0010016,collar cell
http://purl.obolibrary.org/obo/CL_4047012,angiogenic pericyte
http://purl.obolibrary.org/obo/CL_0011018,lymphoid tissue–inducer cell
http://purl.obolibrary.org/obo/CL_0000605,fungal asexual spore
http://purl.obolibrary.org/obo/CL_0007016,adaxial cell
http://purl.obolibrary.org/obo/CL_0000163,endocrine cell
http://purl.obolibrary.org/obo/CL_0000661,distal tip cell (sensu Nematoda)
http://purl.obolibrary.org/obo/CL_0000642,folliculostellate cell
http://purl.obolibrary.org/obo/CL_0002024,Kit-positive megakaryocyte progenitor cell
http://purl.obolibrary.org/obo/CL_4040006,dermal chromatophore
http://purl.obolibrary.org/obo/CL_0000550,polychromatophilic erythroblast
http://purl.obolibrary.org/obo/CL_0000484,connective tissue type mast cell
http://purl.obolibrary.org/obo/CL_0000851,neuromast mantle cell
http://purl.obolibrary.org/obo/CL_0002011,Kit-positive macrophage dendritic cell progenitor
http://purl.obolibrary.org/obo/CL_1000042,forebrain neuroblast
http://purl.obolibrary.org/obo/CL_4033078,cycling mononuclear phagocyte
http://purl.obolibrary.org/obo/CL_0009044,lymphocyte of small intestine lamina propria
http://purl.obolibrary.org/obo/CL_0002388,multinucleate arthroconidium
http://purl.obolibrary.org/obo/CL_0000719,posterior cone cell (sensu Endopterygota)
http://purl.obolibrary.org/obo/CL_0000421,coelomocyte
http://purl.obolibrary.org/obo/CL_0000223,endodermal cell
http://purl.obolibrary.org/obo/CL_0001019,CD115-positive monocyte OR common dendritic progenitor
http://purl.obolibrary.org/obo/CL_4023072,brain vascular cell
http://purl.obolibrary.org/obo/CL_0000133,neurectodermal cell
http://purl.obolibrary.org/obo/CL_0000395,procrystal cell
http://purl.obolibrary.org/obo/CL_0002274,histamine secreting cell
http://purl.obolibrary.org/obo/CL_4033018,lung megakaryocyte
http://purl.obolibrary.org/obo/CL_0001028,CD7-positive lymphoid progenitor cell
http://purl.obolibrary.org/obo/CL_0000765,erythroblast
http://purl.obolibrary.org/obo/CL_0001039,terminally differentiated osteoblast
http://purl.obolibrary.org/obo/CL_0002522,renal filtration cell
http://purl.obolibrary.org/obo/CL_0000436,vaginal lubricant secreting cell
http://purl.obolibrary.org/obo/CL_0002006,"Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell"
http://purl.obolibrary.org/obo/CL_0000600,heterokaryon
http://purl.obolibrary.org/obo/CL_4047007,immature pericyte
http://purl.obolibrary.org/obo/CL_0002422,enucleated reticulocyte
http://purl.obolibrary.org/obo/CL_1000505,kidney pelvis cell
http://purl.obolibrary.org/obo/CL_1000331,serous cell of epithelium of bronchus
http://purl.obolibrary.org/obo/CL_0000435,alkali secreting cell
http://purl.obolibrary.org/obo/CL_0002154,early promyelocyte
http://purl.obolibrary.org/obo/CL_2000004,pituitary gland cell
http://purl.obolibrary.org/obo/CL_0000936,early lymphoid progenitor
http://purl.obolibrary.org/obo/CL_0000835,myeloblast
http://purl.obolibrary.org/obo/CL_0001071,group 3 innate lymphoid cell
http://purl.obolibrary.org/obo/CL_0000507,endorphin secreting cell
http://purl.obolibrary.org/obo/CL_0002675,H plus
http://purl.obolibrary.org/obo/CL_0001658,visual pigment cell (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0000549,basophilic erythroblast
http://purl.obolibrary.org/obo/CL_0000143,guidepost cell
http://purl.obolibrary.org/obo/CL_0000590,small luteal cell
http://purl.obolibrary.org/obo/CL_4033089,atretic follicular cell of ovary
http://purl.obolibrary.org/obo/CL_0000051,common lymphoid progenitor
http://purl.obolibrary.org/obo/CL_0002028,basophil mast progenitor cell
http://purl.obolibrary.org/obo/CL_1001009,kidney efferent arteriole cell
http://purl.obolibrary.org/obo/CL_0009004,retinal cell
http://purl.obolibrary.org/obo/CL_0000347,scleral cell
http://purl.obolibrary.org/obo/CL_2000043,brain pericyte
http://purl.obolibrary.org/obo/CL_4030031,interstitial cell
http://purl.obolibrary.org/obo/CL_0002369,fungal spore
http://purl.obolibrary.org/obo/CL_0009005,salivary gland cell
http://purl.obolibrary.org/obo/CL_1000504,kidney medulla cell
http://purl.obolibrary.org/obo/CL_0000130,neuron associated cell (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0001027,CD7-negative lymphoid progenitor cell
http://purl.obolibrary.org/obo/CL_0000951,IgE short lived plasma cell
http://purl.obolibrary.org/obo/CL_0000515,skeletal muscle myoblast
http://purl.obolibrary.org/obo/CL_0000517,macrophage derived foam cell
http://purl.obolibrary.org/obo/CL_0000030,glioblast
http://purl.obolibrary.org/obo/CL_0000831,mast cell progenitor
http://purl.obolibrary.org/obo/CL_0002007,"Kit-low, CD34-positive eosinophil progenitor cell"
http://purl.obolibrary.org/obo/CL_0000718,compound eye cone cell
http://purl.obolibrary.org/obo/CL_0000711,cumulus granulosa cell
http://purl.obolibrary.org/obo/CL_0000977,IgG short lived plasma cell
http://purl.obolibrary.org/obo/CL_1000691,kidney interstitial myofibroblast
http://purl.obolibrary.org/obo/CL_0002003,"CD34-positive, GlyA-negative erythroid progenitor cell"
http://purl.obolibrary.org/obo/CL_0008016,activated skeletal muscle satellite cell
http://purl.obolibrary.org/obo/CL_0002494,cardiocyte
http://purl.obolibrary.org/obo/CL_0002383,conidium of conidiophore head
http://purl.obolibrary.org/obo/CL_1000155,Malpighian tubule stellate cell
http://purl.obolibrary.org/obo/CL_0000460,glucocorticoid secreting cell
http://purl.obolibrary.org/obo/CL_0000062,osteoblast
http://purl.obolibrary.org/obo/CL_4033090,atretic granulosa cell
http://purl.obolibrary.org/obo/CL_0000343,visual pigment cell (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0007008,notochordal vacuole cell
http://purl.obolibrary.org/obo/CL_0002031,hematopoietic lineage restricted progenitor cell
http://purl.obolibrary.org/obo/CL_2000036,anterior lateral line neuromast supporting cell
http://purl.obolibrary.org/obo/CL_0007023,flask cell
http://purl.obolibrary.org/obo/CL_0000371,protoplast
http://purl.obolibrary.org/obo/CL_0000097,mast cell
http://purl.obolibrary.org/obo/CL_0002013,GlyA-positive basophilic erythroblast
http://purl.obolibrary.org/obo/CL_0000055,non-terminally differentiated cell
http://purl.obolibrary.org/obo/CL_0002503,adventitial cell
http://purl.obolibrary.org/obo/CL_1001320,urethra cell
http://purl.obolibrary.org/obo/CL_0001080,"NKp44-negative group 3 innate lymphoid cell, human"
http://purl.obolibrary.org/obo/CL_0000459,noradrenergic cell
http://purl.obolibrary.org/obo/CL_0000345,dental papilla cell
http://purl.obolibrary.org/obo/CL_0000606,macroconidium
http://purl.obolibrary.org/obo/CL_0000554,gastrin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000056,myoblast
http://purl.obolibrary.org/obo/CL_0000188,cell of skeletal muscle
http://purl.obolibrary.org/obo/CL_0000603,dikaryon
http://purl.obolibrary.org/obo/CL_0000894,DN1 thymic pro-T cell
http://purl.obolibrary.org/obo/CL_0000050,megakaryocyte-erythroid progenitor cell
http://purl.obolibrary.org/obo/CL_0001082,immature innate lymphoid cell
http://purl.obolibrary.org/obo/CL_0001075,"KLRG1-positive innate lymphoid cell, human"
http://purl.obolibrary.org/obo/CL_0000552,orthochromatic erythroblast
http://purl.obolibrary.org/obo/CL_0000680,muscle precursor cell
http://purl.obolibrary.org/obo/CL_0002385,blastoconidium
http://purl.obolibrary.org/obo/CL_0000747,cyanophore
http://purl.obolibrary.org/obo/CL_0002358,pyrenocyte
http://purl.obolibrary.org/obo/CL_1000893,kidney venous blood vessel cell
http://purl.obolibrary.org/obo/CL_0001026,"CD34-positive, CD38-positive common myeloid progenitor"
http://purl.obolibrary.org/obo/CL_0002173,extraglomerular mesangial cell
http://purl.obolibrary.org/obo/CL_0002453,oligodendrocyte precursor cell
http://purl.obolibrary.org/obo/CL_0000456,mineralocorticoid secreting cell
http://purl.obolibrary.org/obo/CL_0001012,CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor
http://purl.obolibrary.org/obo/CL_0000154,protein secreting cell
http://purl.obolibrary.org/obo/CL_1001138,interlobular artery cell
http://purl.obolibrary.org/obo/CL_0000647,multinucleated giant cell
http://purl.obolibrary.org/obo/CL_0000467,adrenocorticotropic hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000479,vasopressin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_2000001,peripheral blood mononuclear cell
http://purl.obolibrary.org/obo/CL_0000828,thromboblast
http://purl.obolibrary.org/obo/CL_0001069,group 2 innate lymphoid cell
http://purl.obolibrary.org/obo/CL_0002029,Fc-epsilon RIalpha-low mast cell progenitor
http://purl.obolibrary.org/obo/CL_0002390,uninucleate blastconidium
http://purl.obolibrary.org/obo/CL_0000042,neutrophilic myeloblast
http://purl.obolibrary.org/obo/CL_0002630,actinomycete-type spore
http://purl.obolibrary.org/obo/CL_0000889,myeloid suppressor cell
http://purl.obolibrary.org/obo/CL_1001006,kidney afferent arteriole cell
http://purl.obolibrary.org/obo/CL_2000075,anterior visceral endoderm cell
http://purl.obolibrary.org/obo/CL_0007020,bottle cell
http://purl.obolibrary.org/obo/CL_0000439,prolactin secreting cell
http://purl.obolibrary.org/obo/CL_0001023,"Kit-positive, CD34-positive common myeloid progenitor"
http://purl.obolibrary.org/obo/CL_1001225,kidney collecting duct cell
http://purl.obolibrary.org/obo/CL_0000032,neuroplacodal cell
http://purl.obolibrary.org/obo/CL_0007018,epidermal ciliary cell
http://purl.obolibrary.org/obo/CL_0000001,primary cultured cell
http://purl.obolibrary.org/obo/CL_0000669,pericyte
http://purl.obolibrary.org/obo/CL_0000764,erythroid lineage cell
http://purl.obolibrary.org/obo/CL_2000020,inner cell mass cell
http://purl.obolibrary.org/obo/CL_0000440,melanocyte stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000335,mesenchyme condensation cell
http://purl.obolibrary.org/obo/CL_0000836,promyelocyte
http://purl.obolibrary.org/obo/CL_0000058,chondroblast
http://purl.obolibrary.org/obo/CL_0000487,oenocyte
http://purl.obolibrary.org/obo/CL_0000423,tip cell
http://purl.obolibrary.org/obo/CL_0008034,mural cell
http://purl.obolibrary.org/obo/CL_0000599,conidium
http://purl.obolibrary.org/obo/CL_0000249,hatching gland cell
http://purl.obolibrary.org/obo/CL_0000830,basophilic promyelocyte
http://purl.obolibrary.org/obo/CL_0009010,transit amplifying cell
http://purl.obolibrary.org/obo/CL_0000892,smooth muscle cell derived foam cell
http://purl.obolibrary.org/obo/CL_0002674,H minus
http://purl.obolibrary.org/obo/CL_0000323,lysozyme secreting cell
http://purl.obolibrary.org/obo/CL_0011029,cnidocyte
http://purl.obolibrary.org/obo/CL_0000010,cultured cell
http://purl.obolibrary.org/obo/CL_0000565,fat body cell
http://purl.obolibrary.org/obo/CL_0000506,enkephalin secreting cell
http://purl.obolibrary.org/obo/CL_0000975,short lived plasma cell
http://purl.obolibrary.org/obo/CL_0002468,Gr1-low myeloid suppressor cell
http://purl.obolibrary.org/obo/CL_0000180,estradiol secreting cell
http://purl.obolibrary.org/obo/CL_4033083,squamous granulosa cell
http://purl.obolibrary.org/obo/CL_0009018,lymphocyte of large intestine lamina propria
http://purl.obolibrary.org/obo/CL_0002196,hepatic oval stem cell
http://purl.obolibrary.org/obo/CL_0000172,somatostatin secreting cell
http://purl.obolibrary.org/obo/CL_0002035,Slamf1-negative multipotent progenitor cell
http://purl.obolibrary.org/obo/CL_0002000,Kit-positive erythroid progenitor cell
http://purl.obolibrary.org/obo/CL_0000360,morula cell
http://purl.obolibrary.org/obo/CL_0007007,notochordal sheath cell
http://purl.obolibrary.org/obo/CL_0007006,chordamesodermal cell
http://purl.obolibrary.org/obo/CL_0000407,scolopidial ligament cell
http://purl.obolibrary.org/obo/CL_0002089,"group 2 innate lymphoid cell, mouse"
http://purl.obolibrary.org/obo/CL_0000786,plasma cell
http://purl.obolibrary.org/obo/CL_0000974,long lived plasma cell
http://purl.obolibrary.org/obo/CL_0000509,gastrin secreting cell
http://purl.obolibrary.org/obo/CL_4029003,somatic nurse-like cell
http://purl.obolibrary.org/obo/CL_0002151,late promyelocyte
http://purl.obolibrary.org/obo/CL_0017004,telocyte
http://purl.obolibrary.org/obo/CL_0000123,neuron associated cell (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_4047032,secretory pericyte
http://purl.obolibrary.org/obo/CL_0000114,surface ectodermal cell
http://purl.obolibrary.org/obo/CL_0000541,melanoblast
http://purl.obolibrary.org/obo/CL_0002153,corneocyte
http://purl.obolibrary.org/obo/CL_0001066,"erythroid progenitor cell, mammalian"
http://purl.obolibrary.org/obo/CL_0000514,smooth muscle myoblast
http://purl.obolibrary.org/obo/CL_0002015,"Kit-negative, Ly-76 high polychromatophilic erythroblast"
http://purl.obolibrary.org/obo/CL_0000689,myoendocrine cell
http://purl.obolibrary.org/obo/CL_0000978,IgM short lived plasma cell
http://purl.obolibrary.org/obo/CL_0000031,neuroblast (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_2000035,anterior lateral line neuromast mantle cell
http://purl.obolibrary.org/obo/CL_0000064,ciliated cell
http://purl.obolibrary.org/obo/CL_0000558,reticulocyte
http://purl.obolibrary.org/obo/CL_0000462,adepithelial cell
http://purl.obolibrary.org/obo/CL_4047005,cycling neuroblast (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000430,xanthophore cell
http://purl.obolibrary.org/obo/CL_1000618,juxtaglomerular complex cell
http://purl.obolibrary.org/obo/CL_0002025,"CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell"
http://purl.obolibrary.org/obo/CL_0000174,steroid hormone secreting cell
http://purl.obolibrary.org/obo/CL_0002361,primitive erythroid progenitor
http://purl.obolibrary.org/obo/CL_0002520,nephrocyte
http://purl.obolibrary.org/obo/CL_0002175,primary follicular cell of ovary
http://purl.obolibrary.org/obo/CL_0000310,iron accumulating cell
http://purl.obolibrary.org/obo/CL_0000314,milk secreting cell
http://purl.obolibrary.org/obo/CL_0000286,hyphal cell
http://purl.obolibrary.org/obo/CL_0000829,basophilic myeloblast
http://purl.obolibrary.org/obo/CL_1000596,inner renal cortex cell
http://purl.obolibrary.org/obo/CL_0000574,erythrophore
http://purl.obolibrary.org/obo/CL_0000306,crystallin accumulating cell
http://purl.obolibrary.org/obo/CL_0010007,His-Purkinje system cell
http://purl.obolibrary.org/obo/CL_0000720,anterior cone cell (sensu Endopterygota)
http://purl.obolibrary.org/obo/CL_0002418,hemangioblast
http://purl.obolibrary.org/obo/CL_0000762,nucleated thrombocyte
http://purl.obolibrary.org/obo/CL_0007002,precementoblast
http://purl.obolibrary.org/obo/CL_0000047,neural stem cell
http://purl.obolibrary.org/obo/CL_0001025,"Kit-positive, Sca1-positive common lymphoid progenitor"
http://purl.obolibrary.org/obo/CL_0000724,heterocyst
