tool,organ,cell_label,dataset_count
celltypist,UBERON:0002108,Branch A2 (IPAN/IN),34
celltypist,UBERON:0002108,Branch A3 (IPAN/IN),33
celltypist,UBERON:0002108,Branch A4 (IN),42
celltypist,UBERON:0002108,Branch B1 (eMN),43
celltypist,UBERON:0002108,Branch B2 (eMN),23
celltypist,UBERON:0002108,Branch B3 (IPAN),32
celltypist,UBERON:0002108,CD8 Tmem,36
celltypist,UBERON:0002108,CLC+ Mast cell,30
celltypist,UBERON:0002108,CLDN10+ cells,30
celltypist,UBERON:0002108,CLP,36
celltypist,UBERON:0002108,CX3CR1+ CD8 Tmem,21
celltypist,UBERON:0002108,Colonocyte,19
celltypist,UBERON:0002108,Contractile pericyte (PLN+),43
celltypist,UBERON:0002108,Cycling B cell,42
celltypist,UBERON:0002108,Cycling plasma cell,42
celltypist,UBERON:0002108,D cells (SST+),38
celltypist,UBERON:0002108,DZ GC cell,39
celltypist,UBERON:0002108,Differentiating glia,10
celltypist,UBERON:0002108,Distal progenitor,23
celltypist,UBERON:0002108,EC cells (NPW+),26
celltypist,UBERON:0002108,EC cells (TAC1+),38
celltypist,UBERON:0002108,EECs,44
celltypist,UBERON:0002108,ENCC/glia Progenitor,17
celltypist,UBERON:0002108,Enterocyte,44
celltypist,UBERON:0002108,FCRL4+ Memory B,29
celltypist,UBERON:0002108,FDC,32
celltypist,UBERON:0002108,Fetal arterial EC,25
celltypist,UBERON:0002108,Fetal venous EC,33
celltypist,UBERON:0002108,GC B cell,20
celltypist,UBERON:0002108,Germ,26
celltypist,UBERON:0002108,Glia 1 (DHH+),26
celltypist,UBERON:0002108,Glia 2 (ELN+),33
celltypist,UBERON:0002108,Glia 3 (BCAN+),34
celltypist,UBERON:0002108,Goblet cell,46
celltypist,UBERON:0002108,I cells (CCK+),42
celltypist,UBERON:0002108,ICC,23
celltypist,UBERON:0002108,ILC2,24
celltypist,UBERON:0002108,ILC3,28
celltypist,UBERON:0002108,ILCP,26
celltypist,UBERON:0002108,IgA plasma cell,25
celltypist,UBERON:0002108,IgG plasma cell,34
celltypist,UBERON:0002108,IgM plasma cell,5
celltypist,UBERON:0002108,Immature B,12
celltypist,UBERON:0002108,Immature pericyte,29
celltypist,UBERON:0002108,K cells (GIP+),41
celltypist,UBERON:0002108,L cells (PYY+),39
celltypist,UBERON:0002108,LEC1 (ACKR4+),38
celltypist,UBERON:0002108,LEC2 (MADCAM1+),20
celltypist,UBERON:0002108,LEC3 (ADGRG3+),35
celltypist,UBERON:0002108,LEC4 (STAB2+),42
celltypist,UBERON:0002108,LEC5 (CLDN11+),25
celltypist,UBERON:0002108,LEC6 (ADAMTS4+),37
celltypist,UBERON:0002108,LTi-like NCR+ ILC3,14
celltypist,UBERON:0002108,LTi-like NCR- ILC3,21
celltypist,UBERON:0002108,LYVE1+ Macrophage,35
celltypist,UBERON:0002108,LZ GC cell,18
celltypist,UBERON:0002108,Lymphoid DC,38
celltypist,UBERON:0002108,M/X cells (MLN/GHRL+),35
celltypist,UBERON:0002108,MAIT cell,37
celltypist,UBERON:0002108,MMP9+ Inflammatory macrophage,28
celltypist,UBERON:0002108,MPO+ mono-neutrophil,26
celltypist,UBERON:0002108,Macrophages,31
celltypist,UBERON:0002108,Mast cell,37
celltypist,UBERON:0002108,Mature arterial EC,40
celltypist,UBERON:0002108,Mature venous EC,42
celltypist,UBERON:0002108,Megakaryocyte,25
celltypist,UBERON:0002108,Memory B,34
celltypist,UBERON:0002108,Mesoderm 1 (HAND1+),34
celltypist,UBERON:0002108,Mesoderm 2 (ZEB2+),1
celltypist,UBERON:0002108,Mesothelium,16
celltypist,UBERON:0002108,Mesothelium (PRG4+),9
celltypist,UBERON:0002108,Mesothelium (RGS5+),32
celltypist,UBERON:0002108,Microfold cell,46
celltypist,UBERON:0002108,Monocytes,33
celltypist,UBERON:0002108,N cells (NTS+),27
celltypist,UBERON:0002108,NK T cell,37
celltypist,UBERON:0002108,NK cell,42
celltypist,UBERON:0002108,Naive B,32
celltypist,UBERON:0002108,Neuroblast,29
celltypist,UBERON:0002108,Paneth,44
celltypist,UBERON:0002108,Pericyte,36
celltypist,UBERON:0002108,Pre-B,42
celltypist,UBERON:0002108,Pro-B,30
celltypist,UBERON:0002108,Progenitor (NEUROG3+),39
celltypist,UBERON:0002108,Proximal progenitor,40
celltypist,UBERON:0002108,RBC,30
celltypist,UBERON:0002108,SELL+ CD4 T,33
celltypist,UBERON:0002108,SELL+ CD8 T,33
celltypist,UBERON:0002108,SMC (PART1/CAPN3+),33
celltypist,UBERON:0002108,SMC (PLPP2+),30
celltypist,UBERON:0002108,STAT1+ Naive B,42
celltypist,UBERON:0002108,Stem cells,43
celltypist,UBERON:0002108,Stromal 1 (ADAMDEC1+),6
celltypist,UBERON:0002108,Stromal 1 (CCL11+),33
celltypist,UBERON:0002108,Stromal 2 (CH25H+),20
celltypist,UBERON:0002108,Stromal 2 (NPY+),34
celltypist,UBERON:0002108,Stromal 3 (C7+),30
celltypist,UBERON:0002108,Stromal 3 (KCNN3+),35
celltypist,UBERON:0002108,Stromal 4 (MMP1+),22
celltypist,UBERON:0002108,T reticular,40
celltypist,UBERON:0002108,TA,33
celltypist,UBERON:0002108,TRDV2/TRGV9 gdT,38
celltypist,UBERON:0002108,TRGV2 gdT,46
celltypist,UBERON:0002108,TRGV4 gdT,40
celltypist,UBERON:0002108,TRGV5/7 gdT,19
celltypist,UBERON:0002108,Tfh,41
celltypist,UBERON:0002108,Th1,37
celltypist,UBERON:0002108,Th17,34
celltypist,UBERON:0002108,Transitional Stromal 3 (C3+),41
celltypist,UBERON:0002108,Treg,31
celltypist,UBERON:0002108,Tuft,45
celltypist,UBERON:0002108,angiogenic pericyte,28
celltypist,UBERON:0002108,arterial capillary,44
celltypist,UBERON:0002108,cDC1,34
celltypist,UBERON:0002108,cDC2,23
celltypist,UBERON:0002108,cycling EC,38
celltypist,UBERON:0002108,cycling ENCC/glia,16
celltypist,UBERON:0002108,cycling neuroblast,14
celltypist,UBERON:0002108,cycling stromal,5
celltypist,UBERON:0002108,gdT,10
celltypist,UBERON:0002108,mLN Stroma (FMO2+),22
celltypist,UBERON:0002108,mLTo,37
celltypist,UBERON:0002108,myofibroblast,40
celltypist,UBERON:0002108,myofibroblast (RSPO2+),38
celltypist,UBERON:0002108,pDC,30
celltypist,UBERON:0002108,venous capillary,16
celltypist,UBERON:0002108,�� cells (INS+),13
popv,UBERON:0002097,"CD8-positive, alpha-beta T cell",1
popv,UBERON:0002097,conventional dendritic cell,1
sc_proteomics,unknown,Basal Epithelial Cell,1
sc_proteomics,unknown,CD68,10
sc_proteomics,unknown,CD68+ Macrophage,1
sc_proteomics,unknown,DDB2,10
sc_proteomics,unknown,KI67,10
sc_proteomics,unknown,Lymphatic Endothelial (and some immune cells),1
sc_proteomics,unknown,MPO+,1
sc_proteomics,unknown,Neutrophils/Monocytes,4
sc_proteomics,unknown,P53,10
sc_proteomics,unknown,Smooth Muscle Cell,1
