dataset,organ,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#TxK4$renal%20medulla,Kidney,,false,false,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#VHL$kidney,Kidney,30,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#Wilms1$kidney,Kidney,29,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#Wilms2$cortex%20of%20kidney,Kidney,23,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#Wilms2$renal%20medulla,Kidney,,false,false,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#Wilms2$renal%20pelvis,Kidney,,false,false,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#Wilms3$cortex%20of%20kidney,Kidney,14,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#Wilms3$renal%20medulla,Kidney,17,false,true,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#Wilms3$renal%20pelvis,Kidney,,false,false,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec#pRCC$kidney,Kidney,,false,false,false,true,false,CxG,Spatiotemporal immune zonation of the human kidney,https://doi.org/10.1126/science.aat5031,Benjamin J. Stewart
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#PapRCC$kidney,Kidney,,false,false,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#RCC1$kidney,Kidney,32,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#RCC2$kidney,Kidney,23,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#RCC3$kidney,Kidney,20,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#Teen%20Tx$cortex%20of%20kidney,Kidney,20,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#Teen%20Tx$renal%20medulla,Kidney,22,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#TxK1$cortex%20of%20kidney,Kidney,18,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#TxK1$renal%20medulla,Kidney,25,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#TxK1$renal%20pelvis,Kidney,25,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#TxK2$cortex%20of%20kidney,Kidney,15,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#TxK2$renal%20medulla,Kidney,,false,false,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#TxK3$cortex%20of%20kidney,Kidney,15,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#TxK3$renal%20medulla,Kidney,15,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#TxK4$cortex%20of%20kidney,Kidney,26,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#TxK4$renal%20medulla,Kidney,,false,false,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#VHL_RCC$kidney,Kidney,29,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#Wilms1$kidney,Kidney,30,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#Wilms2$cortex%20of%20kidney,Kidney,24,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#Wilms2$renal%20medulla,Kidney,,false,false,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#Wilms2$renal%20pelvis,Kidney,,false,false,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#Wilms3$cortex%20of%20kidney,Kidney,13,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#Wilms3$renal%20medulla,Kidney,18,false,true,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb#Wilms3$renal%20pelvis,Kidney,,false,false,false,true,false,CxG,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,https://doi.org/10.1126/science.aat1699,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/13d1c580-4b17-4b2e-85c4-75b36917413f#F16$kidney,Kidney,25,false,true,false,true,false,CxG,Single cell derived mRNA signals across human kidney tumors,https://doi.org/10.1038/s41467-021-23949-5,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/13d1c580-4b17-4b2e-85c4-75b36917413f#F17$kidney,Kidney,31,false,true,false,true,false,CxG,Single cell derived mRNA signals across human kidney tumors,https://doi.org/10.1038/s41467-021-23949-5,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/13d1c580-4b17-4b2e-85c4-75b36917413f#F35$kidney,Kidney,22,false,true,false,true,false,CxG,Single cell derived mRNA signals across human kidney tumors,https://doi.org/10.1038/s41467-021-23949-5,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/13d1c580-4b17-4b2e-85c4-75b36917413f#F38$kidney,Kidney,31,false,true,false,true,false,CxG,Single cell derived mRNA signals across human kidney tumors,https://doi.org/10.1038/s41467-021-23949-5,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/13d1c580-4b17-4b2e-85c4-75b36917413f#F41$kidney,Kidney,28,false,true,false,true,false,CxG,Single cell derived mRNA signals across human kidney tumors,https://doi.org/10.1038/s41467-021-23949-5,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/13d1c580-4b17-4b2e-85c4-75b36917413f#F45$kidney,Kidney,26,false,true,false,true,false,CxG,Single cell derived mRNA signals across human kidney tumors,https://doi.org/10.1038/s41467-021-23949-5,Matthew D. Young
https://api.cellxgene.cziscience.com/dp/v1/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780#SCS_2006$kidney,Kidney,23,false,true,false,true,false,CxG,"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://doi.org/10.1073/pnas.2103240118,Yuping Zhang
https://api.cellxgene.cziscience.com/dp/v1/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780#SS_2007$kidney,Kidney,19,false,true,false,true,false,CxG,"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://doi.org/10.1073/pnas.2103240118,Yuping Zhang
https://api.cellxgene.cziscience.com/dp/v1/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780#SS_2014$kidney,Kidney,30,false,true,false,true,false,CxG,"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://doi.org/10.1073/pnas.2103240118,Yuping Zhang
https://api.cellxgene.cziscience.com/dp/v1/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780#SS_2017$kidney,Kidney,30,false,true,false,true,false,CxG,"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://doi.org/10.1073/pnas.2103240118,Yuping Zhang
https://api.cellxgene.cziscience.com/dp/v1/collections/1df8c90d-d299-4b2e-a54d-a5a80f36e780#SS_2022$kidney,Kidney,29,false,true,false,true,false,CxG,"Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response",https://doi.org/10.1073/pnas.2103240118,Yuping Zhang
https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor11$kidney,Kidney,34,false,true,false,true,false,CxG,Construction of a human cell landscape at single-cell level,https://doi.org/10.1038/s41586-020-2157-4,Xiaoping Han
https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor15$kidney,Kidney,43,false,true,false,true,false,CxG,Construction of a human cell landscape at single-cell level,https://doi.org/10.1038/s41586-020-2157-4,Xiaoping Han
https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor34$kidney,Kidney,44,false,true,false,true,false,CxG,Construction of a human cell landscape at single-cell level,https://doi.org/10.1038/s41586-020-2157-4,Xiaoping Han
https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor36$kidney,Kidney,41,false,true,false,true,false,CxG,Construction of a human cell landscape at single-cell level,https://doi.org/10.1038/s41586-020-2157-4,Xiaoping Han
https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor37$kidney,Kidney,36,false,true,false,true,false,CxG,Construction of a human cell landscape at single-cell level,https://doi.org/10.1038/s41586-020-2157-4,Xiaoping Han
https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor8$kidney,Kidney,39,false,true,false,true,false,CxG,Construction of a human cell landscape at single-cell level,https://doi.org/10.1038/s41586-020-2157-4,Xiaoping Han
https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor9$kidney,Kidney,41,false,true,false,true,false,CxG,Construction of a human cell landscape at single-cell level,https://doi.org/10.1038/s41586-020-2157-4,Xiaoping Han
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_11$cortex%20of%20kidney,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_11$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_12$cortex%20of%20kidney,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_12$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_16$cortex%20of%20kidney,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_16$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_17$cortex%20of%20kidney,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_17$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_19$cortex%20of%20kidney,Kidney,46,false,true,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_19$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_20$cortex%20of%20kidney,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_20$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_21$cortex%20of%20kidney,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_21$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_22$cortex%20of%20kidney,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_22$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_23$cortex%20of%20kidney,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_23$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_24$cortex%20of%20kidney,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_24$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_A$cortex%20of%20kidney,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a#donor_A$renal%20medulla,Kidney,,false,false,false,true,false,CxG,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,https://doi.org/10.1016/j.isci.2022.104097,Jamie L. Marshall
https://api.cellxgene.cziscience.com/dp/v1/collections/a98b828a-622a-483a-80e0-15703678befd#20-649_N$cortex%20of%20kidney,Kidney,31,false,true,false,false,false,CxG,HCA kidney seed network: University of Michigan,,
https://api.cellxgene.cziscience.com/dp/v1/collections/a98b828a-622a-483a-80e0-15703678befd#20-668_N$cortex%20of%20kidney,Kidney,31,false,true,false,false,false,CxG,HCA kidney seed network: University of Michigan,,
