dataset,technology,description,annotation_method,ct_cnt
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,56
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D231$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,27
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,18
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,6
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,46
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D175$lung,OTHER,"Data/Assay Types: OTHER, ",popv,27
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,18
https://entity.api.hubmapconsortium.org/entities/6cd63d0ee2c67c3be41e4be1522d9c07,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,44
https://entity.api.hubmapconsortium.org/entities/61b3818a8c762a5708b275a714360608,CODEX,Dataset Type: CODEX,spatial,25
https://entity.api.hubmapconsortium.org/entities/5d111a1db2f18d507d23e79b993e1e4a,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,29
https://entity.api.hubmapconsortium.org/entities/69e35548d14ef026c46ddbab31f761da,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,43
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D122$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,47
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,25
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",azimuth,18
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",celltypist,47
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D150$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,29
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,52
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D11$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",popv,5
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$interventricular%20septum,10x,"Data/Assay Types: 10x, ",popv,6
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D139$lung,OTHER,"Data/Assay Types: OTHER, ",celltypist,49
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,19
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,18
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,10x,"Data/Assay Types: 10x, ",popv,6
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,50
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D3$left%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,18
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D175$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,23
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,18
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,23
https://entity.api.hubmapconsortium.org/entities/65b09a22752175901f42fe92e84f1c8e,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,60
https://entity.api.hubmapconsortium.org/entities/59249f23ecdcc975c90de9a1956a5285,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,35
https://entity.api.hubmapconsortium.org/entities/6a05e7d78aca48e29e5c5f6cf7c08c58,RNAseq,Dataset Type: RNAseq [Salmon],popv,34
https://entity.api.hubmapconsortium.org/entities/069a6930776ca28f8e10c3781aa13b56,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,44
https://entity.api.hubmapconsortium.org/entities/0119a79114328c9b2802771bed6611f5,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,59
https://entity.api.hubmapconsortium.org/entities/0cecd7cf1da6f81d3654c1712a5d61a2,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,46
https://entity.api.hubmapconsortium.org/entities/0b590c9e3a62178da592e85572e2f1bf,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,27
https://entity.api.hubmapconsortium.org/entities/171bd6114652ce2a1ff0e4757b5eaef9,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,51
https://entity.api.hubmapconsortium.org/entities/12de9dcdb62640f1687b832f69648a55,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,41
https://entity.api.hubmapconsortium.org/entities/133bc98251c8b80923f550ea2678380e,CODEX,Dataset Type: CODEX,spatial,25
https://entity.api.hubmapconsortium.org/entities/044b28971204366347e7ed0b7ef0c279,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,45
https://entity.api.hubmapconsortium.org/entities/18b8ab61674cf05024456cde49ac67bb,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,60
https://entity.api.hubmapconsortium.org/entities/0a21f3fa27109790483f2a0729be53de,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,42
https://entity.api.hubmapconsortium.org/entities/061b6c8f8e76f9be125f0f93e7734642,RNAseq,Dataset Type: RNAseq [Salmon],popv,13
https://entity.api.hubmapconsortium.org/entities/056c97623fca0f1414572b68aca69cee,RNAseq,Dataset Type: RNAseq [Salmon],popv,31
https://entity.api.hubmapconsortium.org/entities/007f3dfaaa287d5c7c227651f61a9c5b,RNAseq,Dataset Type: RNAseq [Salmon],popv,6
https://entity.api.hubmapconsortium.org/entities/171bd6114652ce2a1ff0e4757b5eaef9,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,26
https://entity.api.hubmapconsortium.org/entities/153b0fe8575ff1a17768319ba6dbaa5c,CODEX,Dataset Type: CODEX,spatial,25
https://entity.api.hubmapconsortium.org/entities/2edf11e0b51b157a319a5fdf68b0d3c7,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,24
https://entity.api.hubmapconsortium.org/entities/3152ddcb811d362113ebb119602f2cd4,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,27
https://entity.api.hubmapconsortium.org/entities/2ea554a5a203a6c468431e652823ca1e,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,26
https://entity.api.hubmapconsortium.org/entities/2cd4eabca0b653af7f3b79534b2d641f,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,41
https://entity.api.hubmapconsortium.org/entities/3d0bf870aaa607cd0bd0146a461ea0ac,RNAseq,Dataset Type: RNAseq [Salmon],popv,5
https://entity.api.hubmapconsortium.org/entities/33b9c54d7c295897826e1e5271d4fc24,RNAseq,Dataset Type: RNAseq [Salmon],popv,5
https://entity.api.hubmapconsortium.org/entities/0b1017f6a9d71c4e75125e7144b62795,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,27
https://entity.api.hubmapconsortium.org/entities/08c1aa2e74700e1170fc9218ae255992,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,34
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,10x,"Data/Assay Types: 10x, ",popv,6
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,48
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,OTHER,"Data/Assay Types: OTHER, ",azimuth,30
https://entity.api.hubmapconsortium.org/entities/174c43df28ab2ab737471d00a65d7730,RNAseq,Dataset Type: RNAseq [Salmon],popv,8
https://entity.api.hubmapconsortium.org/entities/06f36504b05a954d35eaf5e26be49c42,RNAseq,Dataset Type: RNAseq [Salmon],popv,30
https://entity.api.hubmapconsortium.org/entities/0b6f63f2bd61a8c091fc7afc0f318ad1,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,31
https://entity.api.hubmapconsortium.org/entities/6204c98529c482e1bb3816559775dc54,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,53
https://entity.api.hubmapconsortium.org/entities/57cf1d63bf13e804c38495f02731aa5e,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,19
https://entity.api.hubmapconsortium.org/entities/8df15cb20f5e127d102a73d0ec5682a0,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,60
https://entity.api.hubmapconsortium.org/entities/7e7d753ec5074f5d7ae987c47f1c3c0b,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,32
https://entity.api.hubmapconsortium.org/entities/8251c86364659887c1508def8f8cef05,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,37
https://entity.api.hubmapconsortium.org/entities/176edb4b0e16059522f6f087576fbeec,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,60
https://entity.api.hubmapconsortium.org/entities/148d6445ed0cda5cabae377829013b4c,RNAseq,Dataset Type: RNAseq [Salmon],popv,8
https://entity.api.hubmapconsortium.org/entities/020117a381ac84a941c974b939ea3115,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,58
https://entity.api.hubmapconsortium.org/entities/0219f5ba7743f0fc59d027eb23c5187d,RNAseq,Dataset Type: RNAseq [Salmon],popv,29
https://entity.api.hubmapconsortium.org/entities/06f36504b05a954d35eaf5e26be49c42,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,26
https://entity.api.hubmapconsortium.org/entities/11b4f413984624557c2b1a4566b0d71a,CODEX,Dataset Type: CODEX,spatial,25
https://entity.api.hubmapconsortium.org/entities/17f67cb15e59f65e640d85d2f3866cde,RNAseq,Dataset Type: RNAseq [Salmon],popv,6
