organ,as_label,ct_label,gene_symbol,as,ct,gene
Large Intestine,transverse colon,mature eosinophil,PTGDR2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000041,http://identifiers.org/hgnc/4502
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,IL7R,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6024
Large Intestine,transverse colon,mature eosinophil,ITGAM,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000041,http://identifiers.org/hgnc/6149
Large Intestine,transverse colon,mast cell,KIT,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/6342
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,KIT,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6342
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,KLRB1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6373
Large Intestine,transverse colon,Schwann cell,CD274,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002573,http://identifiers.org/hgnc/17635
Large Intestine,transverse colon,intestinal tuft cell,TRPM5,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/14323
Large Intestine,transverse colon,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",CD2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000796,http://identifiers.org/hgnc/1639
Large Intestine,transverse colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1639
Large Intestine,transverse colon,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",CD2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000802,http://identifiers.org/hgnc/1639
Large Intestine,transverse colon,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",CD3D,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000796,http://identifiers.org/hgnc/1673
Large Intestine,transverse colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD3D,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1673
Large Intestine,transverse colon,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",CD3D,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000802,http://identifiers.org/hgnc/1673
Large Intestine,transverse colon,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",CD3W,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000796,http://identifiers.org/hgnc/1676
Large Intestine,transverse colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD3W,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1676
Large Intestine,transverse colon,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",CD3W,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000802,http://identifiers.org/hgnc/1676
Large Intestine,transverse colon,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",CD5,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000796,http://identifiers.org/hgnc/1685
Large Intestine,transverse colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD5,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1685
Large Intestine,transverse colon,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",CD5,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000802,http://identifiers.org/hgnc/1685
Large Intestine,transverse colon,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",CD7,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000796,http://identifiers.org/hgnc/1695
Large Intestine,transverse colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD7,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1695
Large Intestine,transverse colon,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",CD7,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000802,http://identifiers.org/hgnc/1695
Large Intestine,transverse colon,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",CD8A,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000796,http://identifiers.org/hgnc/1706
Large Intestine,transverse colon,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",CD8A,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000915,http://identifiers.org/hgnc/1706
Large Intestine,transverse colon,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",CD8A,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000802,http://identifiers.org/hgnc/1706
Large Intestine,transverse colon,intestinal tuft cell,POU2F3,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/19864
Large Intestine,transverse colon,intestinal tuft cell,KRT20,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/20412
Large Intestine,transverse colon,intestinal tuft cell,DCLK1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/2700
Large Intestine,transverse colon,intestinal tuft cell,PTGS1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0019032,http://identifiers.org/hgnc/9604
Large Intestine,transverse colon,subepithelial membrane,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001157,https://purl.org/ccf/ASCTB-TEMP_subepithelial-membrane,http://identifiers.org/hgnc/130
Large Intestine,transverse colon,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CD2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000935,http://identifiers.org/hgnc/1639
Large Intestine,transverse colon,"CD4-positive, alpha-beta intraepithelial T cell",CD2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000793,http://identifiers.org/hgnc/1639
Large Intestine,transverse colon,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CD3D,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000935,http://identifiers.org/hgnc/1673
Large Intestine,transverse colon,"CD4-positive, alpha-beta intraepithelial T cell",CD3D,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000793,http://identifiers.org/hgnc/1673
Large Intestine,transverse colon,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CD3W,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000935,http://identifiers.org/hgnc/1676
Large Intestine,transverse colon,"CD4-positive, alpha-beta intraepithelial T cell",CD3W,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000793,http://identifiers.org/hgnc/1676
Large Intestine,transverse colon,"CD4-positive, alpha-beta intraepithelial T cell",CD4,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000793,http://identifiers.org/hgnc/1678
Large Intestine,transverse colon,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CD5,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000935,http://identifiers.org/hgnc/1685
Large Intestine,transverse colon,"CD4-positive, alpha-beta intraepithelial T cell",CD5,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000793,http://identifiers.org/hgnc/1685
Large Intestine,transverse colon,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CD7,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000935,http://identifiers.org/hgnc/1695
Large Intestine,transverse colon,"CD4-positive, alpha-beta intraepithelial T cell",CD7,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000793,http://identifiers.org/hgnc/1695
Large Intestine,transverse colon,intestinal crypt stem cell of large intestine,SOX9,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/11204
Large Intestine,transverse colon,intestinal crypt stem cell of large intestine,CD44,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/1681
Large Intestine,transverse colon,enterocyte of epithelium of large intestine,BEST4,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002071,http://identifiers.org/hgnc/17106
Large Intestine,transverse colon,intestinal crypt stem cell of large intestine,LRIG1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/17360
Large Intestine,transverse colon,intestinal crypt stem cell of large intestine,SMOC2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/20323
Large Intestine,transverse colon,enterocyte of epithelium of large intestine,KRT20,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002071,http://identifiers.org/hgnc/20412
Large Intestine,transverse colon,transit amplifying cell of colon,KRT20,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009011,http://identifiers.org/hgnc/20412
Large Intestine,transverse colon,large intestine crypt goblet cell,KRT20,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000321,http://identifiers.org/hgnc/20412
Large Intestine,transverse colon,intestinal crypt stem cell of large intestine,RGMB,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/26896
Large Intestine,transverse colon,paneth cell of colon,DEFA5,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009009,http://identifiers.org/hgnc/2764
Large Intestine,transverse colon,intestinal crypt stem cell of large intestine,LGR5,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009016,http://identifiers.org/hgnc/4504
Large Intestine,transverse colon,neuroendocrine cell,INSL5,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000165,http://identifiers.org/hgnc/6088
Large Intestine,transverse colon,large intestine crypt goblet cell,MUC2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000321,http://identifiers.org/hgnc/7512
Large Intestine,descending colon,myofibroblast cell,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000186,http://identifiers.org/hgnc/130
Large Intestine,descending colon,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CD2,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000935,http://identifiers.org/hgnc/1639
Large Intestine,descending colon,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CD3D,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000935,http://identifiers.org/hgnc/1673
Large Intestine,descending colon,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CD3W,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000935,http://identifiers.org/hgnc/1676
Large Intestine,descending colon,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CD5,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000935,http://identifiers.org/hgnc/1685
Large Intestine,descending colon,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CD7,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/CL_0000935,http://identifiers.org/hgnc/1695
Large Intestine,transverse colon,Schwann cell,BID,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002573,http://identifiers.org/hgnc/1050
Large Intestine,transverse colon,Schwann cell,BST2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002573,http://identifiers.org/hgnc/1119
Large Intestine,transverse colon,Schwann cell,UCHL1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002573,http://identifiers.org/hgnc/12513
Large Intestine,transverse colon,endothelial cell of venule,CD34,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/1662
Large Intestine,transverse colon,endothelial cell of venule,CD36,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/1663
Large Intestine,transverse colon,fibroblast,COL6A1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/2211
Large Intestine,transverse colon,fibroblast,COL6A2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/2212
Large Intestine,transverse colon,endothelial cell of venule,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/8823
Large Intestine,transverse colon,adipocyte,BID,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000136,http://identifiers.org/hgnc/1050
Large Intestine,transverse colon,endothelial cell of lymphatic vessel,PDPN,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/29602
Large Intestine,transverse colon,pericyte,PDGFRB,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/8804
Large Intestine,transverse colon,endothelial cell of lymphatic vessel,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/8823
Large Intestine,transverse colon,endothelial cell of arteriole,CD34,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000412,http://identifiers.org/hgnc/1662
Large Intestine,transverse colon,endothelial cell of arteriole,CD36,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000412,http://identifiers.org/hgnc/1663
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,CD3W,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1676
Large Intestine,transverse colon,endothelial cell of arteriole,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000412,http://identifiers.org/hgnc/8823
Large Intestine,transverse colon,smooth muscle cell,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000192,http://identifiers.org/hgnc/130
Large Intestine,transverse colon,mesothelial cell of visceral peritoneum,KRT8,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/6446
Large Intestine,transverse colon,mesothelial cell of visceral peritoneum,CALB2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/1435
Large Intestine,transverse colon,mesothelial cell of visceral peritoneum,KRT18,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000457,http://identifiers.org/hgnc/6430
Large Intestine,transverse colon,pericyte,PECAM1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/8823
Large Intestine,transverse colon,smooth muscle cell of large intestine,SMTN,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000279,http://identifiers.org/hgnc/11126
Large Intestine,transverse colon,smooth muscle cell of large intestine,ACTA2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_1000279,http://identifiers.org/hgnc/130
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,CD19,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1633
Large Intestine,transverse colon,interstitial cell of Cajal,CD34,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002088,http://identifiers.org/hgnc/1662
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,CD79A,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1698
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,CR2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/2336
Large Intestine,transverse colon,interstitial cell of Cajal,KIT,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002088,http://identifiers.org/hgnc/6342
Large Intestine,transverse colon,ganglion,MAP2,http://purl.obolibrary.org/obo/UBERON_0001157,https://purl.org/ccf/ASCTB-TEMP_ganglion,http://identifiers.org/hgnc/6839
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,MS4A1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/7315
Large Intestine,transverse colon,ganglion,PRPH,http://purl.obolibrary.org/obo/UBERON_0001157,https://purl.org/ccf/ASCTB-TEMP_ganglion,http://identifiers.org/hgnc/9461
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,CD2,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1639
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,CD3D,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1673
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,CD4,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1678
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,CD5,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1685
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,CD7,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1695
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,CD8A,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/1706
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,IL2RA,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6008
Large Intestine,transverse colon,lymphocyte of large intestine lamina propria,FOXP3,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0009018,http://identifiers.org/hgnc/6106
Large Intestine,transverse colon,endothelial cell of lymphatic vessel,UCHL1,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/12513
