tool,organ,cell_label,dataset_count
celltypist,UBERON:0000059,LYVE1+ Macrophage,33
celltypist,UBERON:0000059,LZ GC cell,22
celltypist,UBERON:0000059,Lymphoid DC,36
celltypist,UBERON:0000059,M/X cells (MLN/GHRL+),17
celltypist,UBERON:0000059,MAIT cell,35
celltypist,UBERON:0000059,MMP9+ Inflammatory macrophage,34
celltypist,UBERON:0000059,MPO+ mono-neutrophil,27
celltypist,UBERON:0000059,Macrophages,36
celltypist,UBERON:0000059,Mast cell,32
celltypist,UBERON:0000059,Mature arterial EC,39
celltypist,UBERON:0000059,Mature venous EC,38
celltypist,UBERON:0000059,Megakaryocyte,34
celltypist,UBERON:0000059,Memory B,33
celltypist,UBERON:0000059,Mesoderm 1 (HAND1+),36
celltypist,UBERON:0000059,Mesoderm 2 (ZEB2+),10
celltypist,UBERON:0000059,Mesothelium,20
celltypist,UBERON:0000059,Mesothelium (PRG4+),18
celltypist,UBERON:0000059,Mesothelium (RGS5+),39
celltypist,UBERON:0000059,Microfold cell,38
celltypist,UBERON:0000059,Monocytes,36
celltypist,UBERON:0000059,N cells (NTS+),18
celltypist,UBERON:0000059,NK T cell,35
celltypist,UBERON:0000059,NK cell,36
celltypist,UBERON:0000059,Naive B,34
celltypist,UBERON:0000059,Neuroblast,30
celltypist,UBERON:0000059,Paneth,33
celltypist,UBERON:0000059,Pericyte,36
celltypist,UBERON:0000059,Pre-B,34
celltypist,UBERON:0000059,Pro-B,33
celltypist,UBERON:0000059,Progenitor (NEUROG3+),35
celltypist,UBERON:0000059,Proximal progenitor,36
celltypist,UBERON:0000059,RBC,32
celltypist,UBERON:0000059,SELL+ CD4 T,32
celltypist,UBERON:0000059,SELL+ CD8 T,37
celltypist,UBERON:0000059,SMC (PART1/CAPN3+),36
celltypist,UBERON:0000059,SMC (PLPP2+),36
celltypist,UBERON:0000059,STAT1+ Naive B,37
celltypist,UBERON:0000059,Stem cells,39
celltypist,UBERON:0000059,Stromal 1 (ADAMDEC1+),3
celltypist,UBERON:0000059,Stromal 1 (CCL11+),33
celltypist,UBERON:0000059,Stromal 2 (CH25H+),35
celltypist,UBERON:0000059,Stromal 2 (NPY+),31
celltypist,UBERON:0000059,Stromal 3 (C7+),33
celltypist,UBERON:0000059,Stromal 3 (KCNN3+),35
celltypist,UBERON:0000059,Stromal 4 (MMP1+),30
celltypist,UBERON:0000059,T reticular,35
celltypist,UBERON:0000059,TA,36
celltypist,UBERON:0000059,TRDV2/TRGV9 gdT,27
celltypist,UBERON:0000059,TRGV2 gdT,38
celltypist,UBERON:0000059,TRGV4 gdT,35
celltypist,UBERON:0000059,TRGV5/7 gdT,15
celltypist,UBERON:0000059,Tfh,38
celltypist,UBERON:0000059,Th1,33
celltypist,UBERON:0000059,Th17,25
celltypist,UBERON:0000059,Transitional Stromal 3 (C3+),39
celltypist,UBERON:0000059,Treg,29
celltypist,UBERON:0000059,Tuft,37
celltypist,UBERON:0000059,angiogenic pericyte,36
celltypist,UBERON:0000059,arterial capillary,38
celltypist,UBERON:0000059,cDC1,33
celltypist,UBERON:0000059,cDC2,32
celltypist,UBERON:0000059,cycling EC,33
celltypist,UBERON:0000059,cycling ENCC/glia,31
celltypist,UBERON:0000059,cycling neuroblast,22
celltypist,UBERON:0000059,cycling stromal,6
celltypist,UBERON:0000059,gdT,4
celltypist,UBERON:0000059,mLN Stroma (FMO2+),35
celltypist,UBERON:0000059,mLTo,36
celltypist,UBERON:0000059,myofibroblast,39
celltypist,UBERON:0000059,myofibroblast (RSPO2+),37
celltypist,UBERON:0000059,pDC,25
celltypist,UBERON:0000059,venous capillary,23
celltypist,UBERON:0000059,�� cells (INS+),9
celltypist,UBERON:0002108,Activated CD4 T,19
celltypist,UBERON:0002108,Activated CD8 T,21
celltypist,UBERON:0002108,Activated T,36
celltypist,UBERON:0002108,Adult Glia,35
celltypist,UBERON:0002108,BEST2+ Goblet cell,24
celltypist,UBERON:0002108,BEST4+ epithelial,34
celltypist,UBERON:0002108,Branch A1 (iMN),27
celltypist,UBERON:0002108,Branch A2 (IPAN/IN),31
celltypist,UBERON:0002108,Branch A3 (IPAN/IN),30
celltypist,UBERON:0002108,Branch A4 (IN),35
celltypist,UBERON:0002108,Branch B1 (eMN),39
celltypist,UBERON:0002108,Branch B2 (eMN),19
celltypist,UBERON:0002108,Branch B3 (IPAN),30
celltypist,UBERON:0002108,CD8 Tmem,29
celltypist,UBERON:0002108,CLC+ Mast cell,29
celltypist,UBERON:0002108,CLDN10+ cells,28
celltypist,UBERON:0002108,CLP,29
celltypist,UBERON:0002108,CX3CR1+ CD8 Tmem,19
celltypist,UBERON:0002108,Colonocyte,14
celltypist,UBERON:0002108,Contractile pericyte (PLN+),36
celltypist,UBERON:0002108,Cycling B cell,36
celltypist,UBERON:0002108,Cycling plasma cell,37
celltypist,UBERON:0002108,D cells (SST+),33
celltypist,UBERON:0002108,DZ GC cell,34
celltypist,UBERON:0002108,Differentiating glia,10
celltypist,UBERON:0002108,Distal progenitor,20
celltypist,UBERON:0002108,EC cells (NPW+),22
celltypist,UBERON:0002108,EC cells (TAC1+),31
celltypist,UBERON:0002108,EECs,38
celltypist,UBERON:0002108,ENCC/glia Progenitor,15
celltypist,UBERON:0002108,Enterocyte,38
celltypist,UBERON:0002108,FCRL4+ Memory B,26
celltypist,UBERON:0002108,FDC,29
celltypist,UBERON:0002108,Fetal arterial EC,23
celltypist,UBERON:0002108,Fetal venous EC,29
celltypist,UBERON:0002108,GC B cell,19
celltypist,UBERON:0002108,Germ,23
celltypist,UBERON:0002108,Glia 1 (DHH+),24
celltypist,UBERON:0002108,Glia 2 (ELN+),31
celltypist,UBERON:0002108,Glia 3 (BCAN+),33
celltypist,UBERON:0002108,Goblet cell,39
celltypist,UBERON:0002108,I cells (CCK+),37
celltypist,UBERON:0002108,ICC,21
celltypist,UBERON:0002108,ILC2,22
celltypist,UBERON:0002108,ILC3,23
celltypist,UBERON:0002108,ILCP,24
celltypist,UBERON:0002108,IgA plasma cell,20
celltypist,UBERON:0002108,IgG plasma cell,30
celltypist,UBERON:0002108,IgM plasma cell,4
celltypist,UBERON:0002108,Immature B,12
celltypist,UBERON:0002108,Immature pericyte,26
celltypist,UBERON:0002108,K cells (GIP+),35
celltypist,UBERON:0002108,L cells (PYY+),34
celltypist,UBERON:0002108,LEC1 (ACKR4+),33
celltypist,UBERON:0002108,LEC2 (MADCAM1+),19
celltypist,UBERON:0002108,LEC3 (ADGRG3+),32
celltypist,UBERON:0002108,LEC4 (STAB2+),37
celltypist,UBERON:0002108,LEC5 (CLDN11+),23
celltypist,UBERON:0002108,LEC6 (ADAMTS4+),33
celltypist,UBERON:0002108,LTi-like NCR+ ILC3,12
celltypist,UBERON:0002108,LTi-like NCR- ILC3,18
celltypist,UBERON:0002108,LYVE1+ Macrophage,29
celltypist,UBERON:0002108,LZ GC cell,17
celltypist,UBERON:0002108,Lymphoid DC,33
celltypist,UBERON:0002108,M/X cells (MLN/GHRL+),32
celltypist,UBERON:0002108,MAIT cell,33
celltypist,UBERON:0002108,MMP9+ Inflammatory macrophage,27
celltypist,UBERON:0002108,MPO+ mono-neutrophil,25
celltypist,UBERON:0002108,Macrophages,26
celltypist,UBERON:0002108,Mast cell,30
celltypist,UBERON:0002108,Mature arterial EC,35
celltypist,UBERON:0002108,Mature venous EC,35
celltypist,UBERON:0002108,Megakaryocyte,25
celltypist,UBERON:0002108,Memory B,27
celltypist,UBERON:0002108,Mesoderm 1 (HAND1+),29
celltypist,UBERON:0002108,Mesoderm 2 (ZEB2+),1
celltypist,UBERON:0002108,Mesothelium,14
celltypist,UBERON:0002108,Mesothelium (PRG4+),8
celltypist,UBERON:0002108,Mesothelium (RGS5+),29
celltypist,UBERON:0002108,Microfold cell,39
celltypist,UBERON:0002108,Monocytes,28
celltypist,UBERON:0002108,N cells (NTS+),23
celltypist,UBERON:0002108,NK T cell,34
celltypist,UBERON:0002108,NK cell,35
celltypist,UBERON:0002108,Naive B,28
celltypist,UBERON:0002108,Neuroblast,23
celltypist,UBERON:0002108,Paneth,37
celltypist,UBERON:0002108,Pericyte,30
celltypist,UBERON:0002108,Pre-B,36
celltypist,UBERON:0002108,Pro-B,29
celltypist,UBERON:0002108,Progenitor (NEUROG3+),36
celltypist,UBERON:0002108,Proximal progenitor,33
celltypist,UBERON:0002108,RBC,27
celltypist,UBERON:0002108,SELL+ CD4 T,26
celltypist,UBERON:0002108,SELL+ CD8 T,28
celltypist,UBERON:0002108,SMC (PART1/CAPN3+),32
celltypist,UBERON:0002108,SMC (PLPP2+),29
celltypist,UBERON:0002108,STAT1+ Naive B,37
celltypist,UBERON:0002108,Stem cells,36
celltypist,UBERON:0002108,Stromal 1 (ADAMDEC1+),6
celltypist,UBERON:0002108,Stromal 1 (CCL11+),28
celltypist,UBERON:0002108,Stromal 2 (CH25H+),17
celltypist,UBERON:0002108,Stromal 2 (NPY+),29
celltypist,UBERON:0002108,Stromal 3 (C7+),28
celltypist,UBERON:0002108,Stromal 3 (KCNN3+),30
celltypist,UBERON:0002108,Stromal 4 (MMP1+),21
celltypist,UBERON:0002108,T reticular,36
celltypist,UBERON:0002108,TA,28
celltypist,UBERON:0002108,TRDV2/TRGV9 gdT,33
celltypist,UBERON:0002108,TRGV2 gdT,39
celltypist,UBERON:0002108,TRGV4 gdT,34
celltypist,UBERON:0002108,TRGV5/7 gdT,13
celltypist,UBERON:0002108,Tfh,35
celltypist,UBERON:0002108,Th1,33
celltypist,UBERON:0002108,Th17,28
celltypist,UBERON:0002108,Transitional Stromal 3 (C3+),34
celltypist,UBERON:0002108,Treg,26
celltypist,UBERON:0002108,Tuft,38
celltypist,UBERON:0002108,angiogenic pericyte,26
celltypist,UBERON:0002108,arterial capillary,38
celltypist,UBERON:0002108,cDC1,30
celltypist,UBERON:0002108,cDC2,19
celltypist,UBERON:0002108,cycling EC,33
celltypist,UBERON:0002108,cycling ENCC/glia,13
celltypist,UBERON:0002108,cycling neuroblast,13
celltypist,UBERON:0002108,cycling stromal,5
celltypist,UBERON:0002108,gdT,4
celltypist,UBERON:0002108,mLN Stroma (FMO2+),22
celltypist,UBERON:0002108,mLTo,33
celltypist,UBERON:0002108,myofibroblast,37
celltypist,UBERON:0002108,myofibroblast (RSPO2+),34
celltypist,UBERON:0002108,pDC,27
celltypist,UBERON:0002108,venous capillary,13
celltypist,UBERON:0002108,�� cells (INS+),11
popv,UBERON:0000059,colon epithelial cell,5
popv,UBERON:0000059,epithelial cell of large intestine,12
popv,UBERON:0000948,hepatocyte,105
popv,UBERON:0002048,pneumocyte,18
popv,UBERON:0002097,"CD8-positive, alpha-beta T cell",1
popv,UBERON:0002097,conventional dendritic cell,1
popv,UBERON:0002106,"B cell, CD19-positive",2
popv,UBERON:0002106,"CD4-positive, alpha-beta T cell",8
popv,UBERON:0002106,"CD8-positive, alpha-beta T cell",7
popv,UBERON:0002108,epithelial cell of small intestine,1
sc_proteomics,unknown,Basal Epithelial Cell,1
sc_proteomics,unknown,CD68,10
sc_proteomics,unknown,CD68+ Macrophage,2
sc_proteomics,unknown,DDB2,10
sc_proteomics,unknown,KI67,10
sc_proteomics,unknown,Lymphatic Endothelial (and some immune cells),1
sc_proteomics,unknown,MPO+,1
sc_proteomics,unknown,Neutrophils/Monocytes,6
sc_proteomics,unknown,P53,10
sc_proteomics,unknown,Smooth Muscle Cell,2
